id,name
/m/0c0llt,Guantanamo Bay
/m/0430_,Jerusalem
/m/01tf_6,Drug Overdose
/m/08x7kq,Chain Migration
/g/123196x0,Vocational Schools
/m/0422pl,MS-13
/m/0d1w9,Prison
/m/03137q,Parental Leave
/m/01fp_h,ICE
/m/02gqhv,Diversity Immigrant Visa
/m/015smg,Automotive Industry
/m/09t4t,Manufacturing
/m/01wcxw,Veterans
/m/0jblf,Veteran Affairs
/m/07mx2,National Anthem
/m/01_942,Wages
/m/0fjy1,California Wild Fires
/m/07g82,taxes
/m/027x630,ISIS
/m/07br0,trade
/m/07s_c,unemployment
/m/02mm_,energy
/m/07jq_,terrorism
/m/02kjb_,drugs
/m/02k260,opioids
/m/0cbx95,immigration
/m/09g7pqs,ACA/Obamacare
/m/05b7q,north korea
/m/03shp,Iran
/m/0d05w3,china
/m/0jdd,Afghanistan
/m/06bnz,russia
/m/0gfps3,economy
/m/01dlsk,coal mining (industry)
/m/04115t2,jobs
/m/0drqp,Stock Market
/g/11f_4s74rj,Tax Cuts of 2017
/m/02bnqs,Tax Cuts
/m/01jck,trade deficit
/m/01h6rj,military
/m/082cb,war
/m/07r2x,hurricane
/m/05r7t,puerto rico
/m/026gp6r,gun violence
/m/0gff137,gun control
/m/0d04z6,cuba
/m/08193,putin
/m/0b90_r,mexico
/m/059dn,NATO
/m/03spz,Israel
/m/0v74,Al Qaeda
/g/11bv6mhpcc,Clean Power Plan
/m/01kt48,Border